chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.9013743222636136
ADC,ADC,0.1,0.1,fidelity,0.8562142586204345
ADC,ADC,0.2,0.2,fidelity,0.8048274931728913
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7702006636277327
ADC,ADC,0.4,0.4,fidelity,0.7323059368567968
ADC,ADC,0.5,0.5,fidelity,0.699514182841327
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6807841851021847
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.652085624432644
ADC,ADC,0.8,0.8,fidelity,0.6442021722057694
ADC,ADC,0.9,0.9,fidelity,0.630362130414519
ADC,ADC,1.0,1.0,fidelity,0.6363638158631224
