chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.9146669607728547
ADC,ADC,0.1,0.1,fidelity,0.8541455542771706
ADC,ADC,0.2,0.2,fidelity,0.8016201621032882
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7644011858241059
ADC,ADC,0.4,0.4,fidelity,0.7282604968755301
ADC,ADC,0.5,0.5,fidelity,0.6998029541719006
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6741065506677826
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6605403566051385
ADC,ADC,0.8,0.8,fidelity,0.6444025678154169
ADC,ADC,0.9,0.9,fidelity,0.6366193953227689
ADC,ADC,1.0,1.0,fidelity,0.6402886877518753
