chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.8865314339507803
ADC,ADC,0.1,0.1,fidelity,0.8367243727852789
ADC,ADC,0.2,0.2,fidelity,0.7984422288005978
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7387727720328847
ADC,ADC,0.4,0.4,fidelity,0.7214406920394166
ADC,ADC,0.5,0.5,fidelity,0.6959335281526213
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6706084065100972
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6549893049669991
ADC,ADC,0.8,0.8,fidelity,0.6438169461977356
ADC,ADC,0.9,0.9,fidelity,0.6432452508557844
ADC,ADC,1.0,1.0,fidelity,0.637155252484134
