chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.8231366165870445
ADC,ADC,0.1,0.1,fidelity,0.6752216646161071
ADC,ADC,0.2,0.2,fidelity,0.764825209211676
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7060693131577661
ADC,ADC,0.4,0.4,fidelity,0.715290121243353
ADC,ADC,0.5,0.5,fidelity,0.6859419243828437
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6501252361229467
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6547851230405715
ADC,ADC,0.8,0.8,fidelity,0.6200612801622304
ADC,ADC,0.9,0.9,fidelity,0.6475550068129292
ADC,ADC,1.0,1.0,fidelity,0.6504829290783056
