chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.7559048446122372
ADC,ADC,0.1,0.1,fidelity,0.714148800396432
ADC,ADC,0.2,0.2,fidelity,0.693824528095678
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.6679343042706032
ADC,ADC,0.4,0.4,fidelity,0.6486353304636021
ADC,ADC,0.5,0.5,fidelity,0.6346171316062784
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6266212445481765
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6165566695172383
ADC,ADC,0.8,0.8,fidelity,0.6217803336702582
ADC,ADC,0.9,0.9,fidelity,0.630001303295847
ADC,ADC,1.0,1.0,fidelity,0.6403676574283784
