,chA,chB,pA,pB,d,score
0,ADC,ADC,1.0,1.0,trace_distance,0.47534726638763725
1,ADC,ADC,1.0,1.0,fidelity,0.6651004881426148
2,ADC,ADC,1.0,1.0,affinity,0.6651004881426147
3,ADC,ADC,1.0,1.0,wooters_distance,0.525165439916965
4,ADC,ADC,1.0,0.9,trace_distance,0.4641239550407727
5,ADC,ADC,1.0,0.9,fidelity,0.6508679657099763
6,ADC,ADC,1.0,0.9,affinity,0.7256230395715656
7,ADC,ADC,1.0,0.9,wooters_distance,0.5971091981391242
8,ADC,ADC,1.0,0.8,trace_distance,0.4602228029137931
9,ADC,ADC,1.0,0.8,fidelity,0.6328077805299557
10,ADC,ADC,1.0,0.8,affinity,0.7377499763373546
11,ADC,ADC,1.0,0.8,wooters_distance,0.6313825271112106
12,ADC,ADC,1.0,0.7000000000000001,trace_distance,0.4586792911416448
13,ADC,ADC,1.0,0.7000000000000001,fidelity,0.6155736530520739
14,ADC,ADC,1.0,0.7000000000000001,affinity,0.7424779979237291
15,ADC,ADC,1.0,0.7000000000000001,wooters_distance,0.657468256732125
16,ADC,ADC,1.0,0.6000000000000001,trace_distance,0.452798692140257
17,ADC,ADC,1.0,0.6000000000000001,fidelity,0.6022981215550486
18,ADC,ADC,1.0,0.6000000000000001,affinity,0.7472163648370579
19,ADC,ADC,1.0,0.6000000000000001,wooters_distance,0.6756852931792584
20,ADC,ADC,1.0,0.5,trace_distance,0.45967904312250746
21,ADC,ADC,1.0,0.5,fidelity,0.5803264551819699
22,ADC,ADC,1.0,0.5,affinity,0.7413230536017434
23,ADC,ADC,1.0,0.5,wooters_distance,0.7011358844155278
24,ADC,ADC,1.0,0.4,trace_distance,0.4565476359878777
25,ADC,ADC,1.0,0.4,fidelity,0.5690539938607719
26,ADC,ADC,1.0,0.4,affinity,0.741855373024397
27,ADC,ADC,1.0,0.4,wooters_distance,0.7142184614989683
28,ADC,ADC,1.0,0.30000000000000004,trace_distance,0.4641372314512662
29,ADC,ADC,1.0,0.30000000000000004,fidelity,0.5505445951595268
30,ADC,ADC,1.0,0.30000000000000004,affinity,0.7351006598353226
31,ADC,ADC,1.0,0.30000000000000004,wooters_distance,0.7340751409460221
32,ADC,ADC,1.0,0.2,trace_distance,0.47463419528242573
33,ADC,ADC,1.0,0.2,fidelity,0.5320107957780792
34,ADC,ADC,1.0,0.2,affinity,0.726102682905657
35,ADC,ADC,1.0,0.2,wooters_distance,0.753123242891005
