,chA,chB,pA,pB,d,score
0,ADC,ADC,1.0,1.0,trace_distance,0.4728216521649324
1,ADC,ADC,1.0,1.0,fidelity,0.6687122350288153
2,ADC,ADC,1.0,1.0,affinity,0.6687122350288153
3,ADC,ADC,1.0,1.0,wooters_distance,0.5215529303668328
4,ADC,ADC,1.0,0.9,trace_distance,0.46409384959408984
5,ADC,ADC,1.0,0.9,fidelity,0.6515115334945851
6,ADC,ADC,1.0,0.9,affinity,0.7254603849738736
7,ADC,ADC,1.0,0.9,wooters_distance,0.5967221467874654
8,ADC,ADC,1.0,0.8,trace_distance,0.4611870676325743
9,ADC,ADC,1.0,0.8,fidelity,0.6338707484175389
10,ADC,ADC,1.0,0.8,affinity,0.7370764774607624
11,ADC,ADC,1.0,0.8,wooters_distance,0.6302676779446639
12,ADC,ADC,1.0,0.7000000000000001,trace_distance,0.45591698669298303
13,ADC,ADC,1.0,0.7000000000000001,fidelity,0.6171682557024695
14,ADC,ADC,1.0,0.7000000000000001,affinity,0.744321196835911
15,ADC,ADC,1.0,0.7000000000000001,wooters_distance,0.6555200825129098
16,ADC,ADC,1.0,0.6000000000000001,trace_distance,0.45487896044897064
17,ADC,ADC,1.0,0.6000000000000001,fidelity,0.6010356559283162
18,ADC,ADC,1.0,0.6000000000000001,affinity,0.7455848358465577
19,ADC,ADC,1.0,0.6000000000000001,wooters_distance,0.67678816087285
20,ADC,ADC,1.0,0.5,trace_distance,0.4524943423026726
21,ADC,ADC,1.0,0.5,fidelity,0.586493489907948
22,ADC,ADC,1.0,0.5,affinity,0.74623451276004
23,ADC,ADC,1.0,0.5,wooters_distance,0.6946510512407383
24,ADC,ADC,1.0,0.4,trace_distance,0.460733946183703
25,ADC,ADC,1.0,0.4,fidelity,0.565529348686022
26,ADC,ADC,1.0,0.4,affinity,0.7393161435962078
27,ADC,ADC,1.0,0.4,wooters_distance,0.7179965127529905
28,ADC,ADC,1.0,0.30000000000000004,trace_distance,0.46337274646029286
29,ADC,ADC,1.0,0.30000000000000004,fidelity,0.5513787155323162
30,ADC,ADC,1.0,0.30000000000000004,affinity,0.7357459847796383
31,ADC,ADC,1.0,0.30000000000000004,wooters_distance,0.733277477208376
32,ADC,ADC,1.0,0.2,trace_distance,0.4737558370958146
33,ADC,ADC,1.0,0.2,fidelity,0.533545952831947
34,ADC,ADC,1.0,0.2,affinity,0.7272461052185163
35,ADC,ADC,1.0,0.2,wooters_distance,0.7516640335279848
36,ADC,ADC,1.0,0.1,trace_distance,0.48630119816937817
37,ADC,ADC,1.0,0.1,fidelity,0.5155295012039182
38,ADC,ADC,1.0,0.1,affinity,0.7172015408089877
39,ADC,ADC,1.0,0.1,wooters_distance,0.7698479990157133
40,ADC,ADC,1.0,0.0,trace_distance,0.4979639486626237
41,ADC,ADC,1.0,0.0,fidelity,0.5021643340927272
42,ADC,ADC,1.0,0.0,affinity,0.7085723335183776
