chA,chB,pA,pB,d,score
DC,MADC,0.0,0.0,trace_distance,0.7969480317954802
DC,MADC,0.0,0.0,fidelity,0.3222828995202717
DC,MADC,0.0,0.0,affinity,0.35002111024525145
DC,MADC,0.0,0.0,wooters_distance,1.0154745221983383
DC,MADC,0.0,0.1,trace_distance,0.7556402016201648
DC,MADC,0.0,0.1,fidelity,0.35109516712446215
DC,MADC,0.0,0.1,affinity,0.4328800336407551
DC,MADC,0.0,0.1,wooters_distance,0.9661123712912191
DC,MADC,0.0,0.2,trace_distance,0.7336017095211658
DC,MADC,0.0,0.2,fidelity,0.3659125851978412
DC,MADC,0.0,0.2,affinity,0.46899411506355626
DC,MADC,0.0,0.2,wooters_distance,0.9446443822603399
DC,MADC,0.0,0.30000000000000004,trace_distance,0.711515884412882
DC,MADC,0.0,0.30000000000000004,fidelity,0.3803177101138768
DC,MADC,0.0,0.30000000000000004,affinity,0.4908762575472603
DC,MADC,0.0,0.30000000000000004,wooters_distance,0.9287382864648838
DC,MADC,0.0,0.4,trace_distance,0.6962034241102675
DC,MADC,0.0,0.4,fidelity,0.3886145966522693
DC,MADC,0.0,0.4,affinity,0.5032522922088926
DC,MADC,0.0,0.4,wooters_distance,0.9190568485853866
DC,MADC,0.0,0.5,trace_distance,0.6714421799426513
DC,MADC,0.0,0.5,fidelity,0.4153619913091346
DC,MADC,0.0,0.5,affinity,0.5267135202366763
DC,MADC,0.0,0.5,wooters_distance,0.8879549549730973
DC,MADC,0.0,0.6000000000000001,trace_distance,0.6596556436317828
DC,MADC,0.0,0.6000000000000001,fidelity,0.43546175681002686
DC,MADC,0.0,0.6000000000000001,affinity,0.5380432322926725
DC,MADC,0.0,0.6000000000000001,wooters_distance,0.8647135056912789
DC,MADC,0.0,0.7000000000000001,trace_distance,0.6536777242122841
DC,MADC,0.0,0.7000000000000001,fidelity,0.44229404965207875
DC,MADC,0.0,0.7000000000000001,affinity,0.5361230873834305
DC,MADC,0.0,0.7000000000000001,wooters_distance,0.8580122678519274
DC,MADC,0.0,0.8,trace_distance,0.650270279036844
DC,MADC,0.0,0.8,fidelity,0.46336774148288246
DC,MADC,0.0,0.8,affinity,0.5381386431283961
DC,MADC,0.0,0.8,wooters_distance,0.8362433953900816
DC,MADC,0.0,0.9,trace_distance,0.659644333693641
DC,MADC,0.0,0.9,fidelity,0.4789759485758547
DC,MADC,0.0,0.9,affinity,0.5318759390700768
DC,MADC,0.0,0.9,wooters_distance,0.8170700430849515
DC,MADC,0.0,1.0,trace_distance,0.6667605917390726
DC,MADC,0.0,1.0,fidelity,0.5005684790798225
DC,MADC,0.0,1.0,affinity,0.5005695424622885
DC,MADC,0.0,1.0,wooters_distance,0.7846308991271658
DC,MADC,0.1,0.0,trace_distance,0.7417104921564507
DC,MADC,0.1,0.0,fidelity,0.3551928903045305
DC,MADC,0.1,0.0,affinity,0.47456289914849475
DC,MADC,0.1,0.0,wooters_distance,0.9561244335171166
DC,MADC,0.1,0.1,trace_distance,0.7307922398962835
DC,MADC,0.1,0.1,fidelity,0.3575796200161763
DC,MADC,0.1,0.1,affinity,0.49987541254188644
DC,MADC,0.1,0.1,wooters_distance,0.9478898132541446
DC,MADC,0.1,0.2,trace_distance,0.7100853167921681
DC,MADC,0.1,0.2,fidelity,0.36982239469013717
DC,MADC,0.1,0.2,affinity,0.520356557810894
DC,MADC,0.1,0.2,wooters_distance,0.9330478418247597
DC,MADC,0.1,0.30000000000000004,trace_distance,0.6724121792853921
DC,MADC,0.1,0.30000000000000004,fidelity,0.4073515141203342
DC,MADC,0.1,0.30000000000000004,affinity,0.5538287731899472
DC,MADC,0.1,0.30000000000000004,wooters_distance,0.8912858006206348
DC,MADC,0.1,0.4,trace_distance,0.6546800794523012
DC,MADC,0.1,0.4,fidelity,0.4240044848688795
DC,MADC,0.1,0.4,affinity,0.5672526931062388
DC,MADC,0.1,0.4,wooters_distance,0.8739768614389104
DC,MADC,0.1,0.5,trace_distance,0.6596185480643636
DC,MADC,0.1,0.5,fidelity,0.41801584713847806
DC,MADC,0.1,0.5,affinity,0.557076947079832
DC,MADC,0.1,0.5,wooters_distance,0.8826928183151006
DC,MADC,0.1,0.6000000000000001,trace_distance,0.6454031226874883
DC,MADC,0.1,0.6000000000000001,fidelity,0.43835173611207195
DC,MADC,0.1,0.6000000000000001,affinity,0.565498316743774
DC,MADC,0.1,0.6000000000000001,wooters_distance,0.8615751708526888
DC,MADC,0.1,0.7000000000000001,trace_distance,0.6437246353227194
DC,MADC,0.1,0.7000000000000001,fidelity,0.4534383401193354
DC,MADC,0.1,0.7000000000000001,affinity,0.5653860254430292
DC,MADC,0.1,0.7000000000000001,wooters_distance,0.8452980412926837
DC,MADC,0.1,0.8,trace_distance,0.6488812011582071
DC,MADC,0.1,0.8,fidelity,0.46386369787697423
DC,MADC,0.1,0.8,affinity,0.557433559286676
DC,MADC,0.1,0.8,wooters_distance,0.8347239670596909
DC,MADC,0.1,0.9,trace_distance,0.649611291811498
DC,MADC,0.1,0.9,fidelity,0.48520611896822025
DC,MADC,0.1,0.9,affinity,0.5478040755256975
DC,MADC,0.1,0.9,wooters_distance,0.8097759934762717
DC,MADC,0.1,1.0,trace_distance,0.6714645671123001
DC,MADC,0.1,1.0,fidelity,0.4994158730761397
DC,MADC,0.1,1.0,affinity,0.49941565181818687
DC,MADC,0.1,1.0,wooters_distance,0.786033766432314
DC,MADC,0.2,0.0,trace_distance,0.7139339456563509
DC,MADC,0.2,0.0,fidelity,0.36126367723844605
DC,MADC,0.2,0.0,affinity,0.5211414868941898
DC,MADC,0.2,0.0,wooters_distance,0.9410959903454141
DC,MADC,0.2,0.1,trace_distance,0.6972569519179734
DC,MADC,0.2,0.1,fidelity,0.3721271014540221
DC,MADC,0.2,0.1,affinity,0.5422006597085792
DC,MADC,0.2,0.1,wooters_distance,0.9259350880526915
DC,MADC,0.2,0.2,trace_distance,0.6662060306329387
DC,MADC,0.2,0.2,fidelity,0.40183477784727234
DC,MADC,0.2,0.2,affinity,0.5706824982357392
DC,MADC,0.2,0.2,wooters_distance,0.8928897181480396
DC,MADC,0.2,0.30000000000000004,trace_distance,0.6666410393954415
DC,MADC,0.2,0.30000000000000004,fidelity,0.3966398311737892
DC,MADC,0.2,0.30000000000000004,affinity,0.5680918470809345
DC,MADC,0.2,0.30000000000000004,wooters_distance,0.8993731884634751
DC,MADC,0.2,0.4,trace_distance,0.6543166718457625
DC,MADC,0.2,0.4,fidelity,0.4104588457232244
DC,MADC,0.2,0.4,affinity,0.5761566284429469
DC,MADC,0.2,0.4,wooters_distance,0.8856949029466267
DC,MADC,0.2,0.5,trace_distance,0.6296288558683559
DC,MADC,0.2,0.5,fidelity,0.4404239081655552
DC,MADC,0.2,0.5,affinity,0.5931707200104945
DC,MADC,0.2,0.5,wooters_distance,0.8549735999078447
DC,MADC,0.2,0.6000000000000001,trace_distance,0.6325335114330906
DC,MADC,0.2,0.6000000000000001,fidelity,0.4465221697065995
DC,MADC,0.2,0.6000000000000001,affinity,0.5881469393126841
DC,MADC,0.2,0.6000000000000001,wooters_distance,0.8498611061403327
DC,MADC,0.2,0.7000000000000001,trace_distance,0.6317244267384963
DC,MADC,0.2,0.7000000000000001,fidelity,0.46175340312703456
DC,MADC,0.2,0.7000000000000001,affinity,0.5864943760473877
DC,MADC,0.2,0.7000000000000001,wooters_distance,0.8341504167689914
DC,MADC,0.2,0.8,trace_distance,0.6375084357627497
DC,MADC,0.2,0.8,fidelity,0.4721300834021981
DC,MADC,0.2,0.8,affinity,0.5759535956454626
DC,MADC,0.2,0.8,wooters_distance,0.8226783955984133
DC,MADC,0.2,0.9,trace_distance,0.6488131513348823
DC,MADC,0.2,0.9,fidelity,0.48600053750390176
DC,MADC,0.2,0.9,affinity,0.5583793244150702
DC,MADC,0.2,0.9,wooters_distance,0.8067382350619045
DC,MADC,0.2,1.0,trace_distance,0.670018640311069
DC,MADC,0.2,1.0,fidelity,0.4995696735676726
DC,MADC,0.2,1.0,affinity,0.5000682676601986
DC,MADC,0.2,1.0,wooters_distance,0.7856072774445377
DC,MADC,0.30000000000000004,0.0,trace_distance,0.6845545717430677
DC,MADC,0.30000000000000004,0.0,fidelity,0.37662019112844025
DC,MADC,0.30000000000000004,0.0,affinity,0.5591150703918047
DC,MADC,0.30000000000000004,0.0,wooters_distance,0.9191426527518948
DC,MADC,0.30000000000000004,0.1,trace_distance,0.6514448703424979
DC,MADC,0.30000000000000004,0.1,fidelity,0.40423341927508283
DC,MADC,0.30000000000000004,0.1,affinity,0.5877188811450473
DC,MADC,0.30000000000000004,0.1,wooters_distance,0.888227881175761
