chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,trace_distance,0.029070663133444443
ADC,ADC,0.0,0.0,fidelity,0.9944174311462071
ADC,ADC,0.0,0.0,affinity,1.0026893769263443
ADC,ADC,0.0,0.0,wooters_distance,0.048386666527278986
ADC,ADC,0.0,0.1,trace_distance,0.06355446838060805
ADC,ADC,0.0,0.1,fidelity,0.9641524554125267
ADC,ADC,0.0,0.1,affinity,0.9825455118453453
ADC,ADC,0.0,0.1,wooters_distance,0.16184966867957584
ADC,ADC,0.0,0.2,trace_distance,0.11632301374999574
ADC,ADC,0.0,0.2,fidelity,0.93007601888446
ADC,ADC,0.0,0.2,affinity,0.962006895132086
ADC,ADC,0.0,0.2,wooters_distance,0.23304169047141302
ADC,ADC,0.0,0.30000000000000004,trace_distance,0.17064663749874634
ADC,ADC,0.0,0.30000000000000004,fidelity,0.8960432024283028
ADC,ADC,0.0,0.30000000000000004,affinity,0.9402935399527729
ADC,ADC,0.0,0.30000000000000004,wooters_distance,0.28957270281574915
ADC,ADC,0.0,0.4,trace_distance,0.22820259403040347
ADC,ADC,0.0,0.4,fidelity,0.8581513596043548
ADC,ADC,0.0,0.4,affinity,0.9141670081555748
ADC,ADC,0.0,0.4,wooters_distance,0.3455963120860024
ADC,ADC,0.0,0.5,trace_distance,0.28592863762270815
ADC,ADC,0.0,0.5,fidelity,0.820494318274879
ADC,ADC,0.0,0.5,affinity,0.8860406721213019
ADC,ADC,0.0,0.5,wooters_distance,0.3967048083860316
ADC,ADC,0.0,0.6000000000000001,trace_distance,0.3464139813845741
ADC,ADC,0.0,0.6000000000000001,fidelity,0.7793479357296884
ADC,ADC,0.0,0.6000000000000001,affinity,0.8523084855381938
ADC,ADC,0.0,0.6000000000000001,wooters_distance,0.44978469567741236
ADC,ADC,0.0,0.7000000000000001,trace_distance,0.4080179908564666
ADC,ADC,0.0,0.7000000000000001,fidelity,0.732125135318894
ADC,ADC,0.0,0.7000000000000001,affinity,0.8109123616199078
ADC,ADC,0.0,0.7000000000000001,wooters_distance,0.5040083044137171
ADC,ADC,0.0,0.8,trace_distance,0.4740157942403434
ADC,ADC,0.0,0.8,fidelity,0.6824057933900317
ADC,ADC,0.0,0.8,affinity,0.7608403392388672
ADC,ADC,0.0,0.8,wooters_distance,0.5639505868554628
ADC,ADC,0.0,0.9,trace_distance,0.5475981499167275
ADC,ADC,0.0,0.9,fidelity,0.6245817995055841
ADC,ADC,0.0,0.9,affinity,0.6915628382814781
ADC,ADC,0.0,0.9,wooters_distance,0.6349473649110082
ADC,ADC,0.0,1.0,trace_distance,0.6657578528144674
ADC,ADC,0.0,1.0,fidelity,0.49976222957786776
ADC,ADC,0.0,1.0,affinity,0.49976207637504233
ADC,ADC,0.0,1.0,wooters_distance,0.7856669842784174
ADC,ADC,0.1,0.0,trace_distance,0.04889183248663061
ADC,ADC,0.1,0.0,fidelity,0.9652276683906147
ADC,ADC,0.1,0.0,affinity,0.9834907856911841
ADC,ADC,0.1,0.0,wooters_distance,0.16258264425386584
ADC,ADC,0.1,0.1,trace_distance,0.08228117584605063
ADC,ADC,0.1,0.1,fidelity,0.936638565360708
ADC,ADC,0.1,0.1,affinity,0.96675094432596
ADC,ADC,0.1,0.1,wooters_distance,0.2508980280797955
ADC,ADC,0.1,0.2,trace_distance,0.12931650719594967
ADC,ADC,0.1,0.2,fidelity,0.9060666610077974
ADC,ADC,0.1,0.2,affinity,0.9488060784642011
ADC,ADC,0.1,0.2,wooters_distance,0.3046876815361935
ADC,ADC,0.1,0.30000000000000004,trace_distance,0.179448337028405
ADC,ADC,0.1,0.30000000000000004,fidelity,0.8735005468622656
ADC,ADC,0.1,0.30000000000000004,affinity,0.9281372649154012
ADC,ADC,0.1,0.30000000000000004,wooters_distance,0.35055786755217266
ADC,ADC,0.1,0.4,trace_distance,0.23307977711098843
ADC,ADC,0.1,0.4,fidelity,0.8411080768164221
ADC,ADC,0.1,0.4,affinity,0.905354732515103
ADC,ADC,0.1,0.4,wooters_distance,0.3923664051366746
ADC,ADC,0.1,0.5,trace_distance,0.2888839553397651
ADC,ADC,0.1,0.5,fidelity,0.8065768183582018
ADC,ADC,0.1,0.5,affinity,0.8788168020239366
ADC,ADC,0.1,0.5,wooters_distance,0.43317376462989343
ADC,ADC,0.1,0.6000000000000001,trace_distance,0.3465930219650057
ADC,ADC,0.1,0.6000000000000001,fidelity,0.7728836909829945
ADC,ADC,0.1,0.6000000000000001,affinity,0.8493695274020331
ADC,ADC,0.1,0.6000000000000001,wooters_distance,0.47243965532033694
ADC,ADC,0.1,0.7000000000000001,trace_distance,0.40490367094299395
ADC,ADC,0.1,0.7000000000000001,fidelity,0.7300506865414137
ADC,ADC,0.1,0.7000000000000001,affinity,0.8112514170607356
ADC,ADC,0.1,0.7000000000000001,wooters_distance,0.518652112605443
ADC,ADC,0.1,0.8,trace_distance,0.4668456229724478
ADC,ADC,0.1,0.8,fidelity,0.6832556411529433
ADC,ADC,0.1,0.8,affinity,0.7634924151386643
ADC,ADC,0.1,0.8,wooters_distance,0.5686963862701008
ADC,ADC,0.1,0.9,trace_distance,0.5360942966907002
ADC,ADC,0.1,0.9,fidelity,0.629179570887688
ADC,ADC,0.1,0.9,affinity,0.6979895518587078
ADC,ADC,0.1,0.9,wooters_distance,0.6300254530051181
ADC,ADC,0.1,1.0,trace_distance,0.6546514883498866
ADC,ADC,0.1,1.0,fidelity,0.5165739390193906
ADC,ADC,0.1,1.0,affinity,0.5165734637684232
ADC,ADC,0.1,1.0,wooters_distance,0.7657591845560632
ADC,ADC,0.2,0.0,trace_distance,0.08127483359556253
ADC,ADC,0.2,0.0,fidelity,0.9312443589444387
ADC,ADC,0.2,0.0,affinity,0.9652162993688834
ADC,ADC,0.2,0.0,wooters_distance,0.23635386924162663
ADC,ADC,0.2,0.1,trace_distance,0.10962442787614161
ADC,ADC,0.2,0.1,fidelity,0.9067612051157389
ADC,ADC,0.2,0.1,affinity,0.9510640395319091
ADC,ADC,0.2,0.1,wooters_distance,0.3068122192276285
ADC,ADC,0.2,0.2,trace_distance,0.1496933765711404
ADC,ADC,0.2,0.2,fidelity,0.8800498084611766
ADC,ADC,0.2,0.2,affinity,0.9351981450351413
ADC,ADC,0.2,0.2,wooters_distance,0.3512966757938882
ADC,ADC,0.2,0.30000000000000004,trace_distance,0.19509973173474557
ADC,ADC,0.2,0.30000000000000004,fidelity,0.8525131394931603
ADC,ADC,0.2,0.30000000000000004,affinity,0.9170976529363436
ADC,ADC,0.2,0.30000000000000004,wooters_distance,0.3889278489485567
ADC,ADC,0.2,0.4,trace_distance,0.24331777940430807
ADC,ADC,0.2,0.4,fidelity,0.8243042100386283
ADC,ADC,0.2,0.4,affinity,0.8966560238984362
ADC,ADC,0.2,0.4,wooters_distance,0.4231651918731413
ADC,ADC,0.2,0.5,trace_distance,0.29254849763472834
ADC,ADC,0.2,0.5,fidelity,0.7929036229491617
ADC,ADC,0.2,0.5,affinity,0.8724179922403685
ADC,ADC,0.2,0.5,wooters_distance,0.4580065079152955
ADC,ADC,0.2,0.6000000000000001,trace_distance,0.3476740751342104
ADC,ADC,0.2,0.6000000000000001,fidelity,0.7622663752077937
ADC,ADC,0.2,0.6000000000000001,affinity,0.844751413621586
ADC,ADC,0.2,0.6000000000000001,wooters_distance,0.4913386516720201
ADC,ADC,0.2,0.7000000000000001,trace_distance,0.4019223395296258
ADC,ADC,0.2,0.7000000000000001,fidelity,0.7272788495304343
ADC,ADC,0.2,0.7000000000000001,affinity,0.8111899713124905
ADC,ADC,0.2,0.7000000000000001,wooters_distance,0.5276063111961748
ADC,ADC,0.2,0.8,trace_distance,0.46656052498429235
ADC,ADC,0.2,0.8,fidelity,0.6871250142454657
ADC,ADC,0.2,0.8,affinity,0.7671108175489558
ADC,ADC,0.2,0.8,wooters_distance,0.5722604786816418
ADC,ADC,0.2,0.9,trace_distance,0.5267138437338543
ADC,ADC,0.2,0.9,fidelity,0.637422054432805
ADC,ADC,0.2,0.9,affinity,0.7059092093611128
ADC,ADC,0.2,0.9,wooters_distance,0.6227157574779705
ADC,ADC,0.2,1.0,trace_distance,0.6391141161608881
ADC,ADC,0.2,1.0,fidelity,0.5340223767409487
ADC,ADC,0.2,1.0,affinity,0.5340216186410068
ADC,ADC,0.2,1.0,wooters_distance,0.7452541933980272
ADC,ADC,0.30000000000000004,0.0,trace_distance,0.11795568496651028
ADC,ADC,0.30000000000000004,0.0,fidelity,0.8942966835266867
ADC,ADC,0.30000000000000004,0.0,affinity,0.9451105855124213
ADC,ADC,0.30000000000000004,0.0,wooters_distance,0.30242692739713817
ADC,ADC,0.30000000000000004,0.1,trace_distance,0.14045126520350473
ADC,ADC,0.30000000000000004,0.1,fidelity,0.8754070041795875
ADC,ADC,0.30000000000000004,0.1,affinity,0.9341620253109083
ADC,ADC,0.30000000000000004,0.1,wooters_distance,0.35588977902718877
ADC,ADC,0.30000000000000004,0.2,trace_distance,0.17411534504704113
ADC,ADC,0.30000000000000004,0.2,fidelity,0.8534103231201904
ADC,ADC,0.30000000000000004,0.2,affinity,0.920792262624192
ADC,ADC,0.30000000000000004,0.2,wooters_distance,0.3914499990869536
ADC,ADC,0.30000000000000004,0.30000000000000004,trace_distance,0.21333216281571843
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.8304469003456262
ADC,ADC,0.30000000000000004,0.30000000000000004,affinity,0.9051552139403171
ADC,ADC,0.30000000000000004,0.30000000000000004,wooters_distance,0.42199450924871706
ADC,ADC,0.30000000000000004,0.4,trace_distance,0.25557980250148526
ADC,ADC,0.30000000000000004,0.4,fidelity,0.8065559199462677
ADC,ADC,0.30000000000000004,0.4,affinity,0.8871976189028125
ADC,ADC,0.30000000000000004,0.4,wooters_distance,0.4500211452836745
ADC,ADC,0.30000000000000004,0.5,trace_distance,0.3018543314404683
ADC,ADC,0.30000000000000004,0.5,fidelity,0.7807307180102596
ADC,ADC,0.30000000000000004,0.5,affinity,0.865750491533325
ADC,ADC,0.30000000000000004,0.5,wooters_distance,0.47819030168658255
ADC,ADC,0.30000000000000004,0.6000000000000001,trace_distance,0.34956986453286293
ADC,ADC,0.30000000000000004,0.6000000000000001,fidelity,0.7525086133466666
ADC,ADC,0.30000000000000004,0.6000000000000001,affinity,0.8404439838041781
ADC,ADC,0.30000000000000004,0.6000000000000001,wooters_distance,0.5068136823972946
ADC,ADC,0.30000000000000004,0.7000000000000001,trace_distance,0.4031613787985139
ADC,ADC,0.30000000000000004,0.7000000000000001,fidelity,0.72318652616831
ADC,ADC,0.30000000000000004,0.7000000000000001,affinity,0.8096642114328951
ADC,ADC,0.30000000000000004,0.7000000000000001,wooters_distance,0.5368882510985515
ADC,ADC,0.30000000000000004,0.8,trace_distance,0.4617566210233296
ADC,ADC,0.30000000000000004,0.8,fidelity,0.6870142306137423
ADC,ADC,0.30000000000000004,0.8,affinity,0.7686781972000102
ADC,ADC,0.30000000000000004,0.8,wooters_distance,0.5743581193150932
ADC,ADC,0.30000000000000004,0.9,trace_distance,0.5217522123577115
ADC,ADC,0.30000000000000004,0.9,fidelity,0.6450902847899356
ADC,ADC,0.30000000000000004,0.9,affinity,0.7123085057322541
