chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,trace_distance,0.028045822505537703
ADC,ADC,0.0,0.0,fidelity,1.0
ADC,ADC,0.0,0.0,affinity,0.9999999999999999
ADC,ADC,0.0,0.0,wooters_distance,0.0
ADC,ADC,0.0,0.1,trace_distance,0.05923518163655481
ADC,ADC,0.0,0.1,fidelity,0.9660805289657602
ADC,ADC,0.0,0.1,affinity,0.981934329409594
ADC,ADC,0.0,0.1,wooters_distance,0.16172615633457832
ADC,ADC,0.0,0.2,trace_distance,0.11622444616927093
ADC,ADC,0.0,0.2,fidelity,0.9299293775751126
ADC,ADC,0.0,0.2,affinity,0.9611081220101699
ADC,ADC,0.0,0.2,wooters_distance,0.2332448950545092
ADC,ADC,0.0,0.30000000000000004,trace_distance,0.16819190363749956
ADC,ADC,0.0,0.30000000000000004,fidelity,0.8976409941819835
ADC,ADC,0.0,0.30000000000000004,affinity,0.9404702713360354
ADC,ADC,0.0,0.30000000000000004,wooters_distance,0.2869499652191226
ADC,ADC,0.0,0.4,trace_distance,0.22351869912757794
ADC,ADC,0.0,0.4,fidelity,0.8579315665290551
ADC,ADC,0.0,0.4,affinity,0.9142528688139423
ADC,ADC,0.0,0.4,wooters_distance,0.3417947147387482
ADC,ADC,0.0,0.5,trace_distance,0.28197500778578993
ADC,ADC,0.0,0.5,fidelity,0.8208514112777102
ADC,ADC,0.0,0.5,affinity,0.8854983503885702
ADC,ADC,0.0,0.5,wooters_distance,0.3901928009688789
ADC,ADC,0.0,0.6000000000000001,trace_distance,0.33582036653556613
ADC,ADC,0.0,0.6000000000000001,fidelity,0.7800894338307166
ADC,ADC,0.0,0.6000000000000001,affinity,0.8531410713751971
ADC,ADC,0.0,0.6000000000000001,wooters_distance,0.43916387535253426
ADC,ADC,0.0,0.7000000000000001,trace_distance,0.39920635229367557
ADC,ADC,0.0,0.7000000000000001,fidelity,0.728094835379855
ADC,ADC,0.0,0.7000000000000001,affinity,0.8098414045055414
ADC,ADC,0.0,0.7000000000000001,wooters_distance,0.5011624605788573
ADC,ADC,0.0,0.8,trace_distance,0.4585857471407136
ADC,ADC,0.0,0.8,fidelity,0.6867761083691996
ADC,ADC,0.0,0.8,affinity,0.7625035871766183
ADC,ADC,0.0,0.8,wooters_distance,0.5487462752237807
ADC,ADC,0.0,0.9,trace_distance,0.5302283391909532
ADC,ADC,0.0,0.9,fidelity,0.6246396662519333
ADC,ADC,0.0,0.9,affinity,0.6939232140283549
ADC,ADC,0.0,0.9,wooters_distance,0.6214225160951719
ADC,ADC,0.0,1.0,trace_distance,0.6514650821156648
ADC,ADC,0.0,1.0,fidelity,0.48989618083241654
ADC,ADC,0.0,1.0,affinity,0.48989618083241643
ADC,ADC,0.0,1.0,wooters_distance,0.7958597261614471
ADC,ADC,0.1,0.0,trace_distance,0.04757612945940629
ADC,ADC,0.1,0.0,fidelity,0.9682159535754945
ADC,ADC,0.1,0.0,affinity,0.9835341306855998
ADC,ADC,0.1,0.0,wooters_distance,0.15864024493464776
ADC,ADC,0.1,0.1,trace_distance,0.08245099151960701
ADC,ADC,0.1,0.1,fidelity,0.9375426755404289
ADC,ADC,0.1,0.1,affinity,0.9671580116525912
ADC,ADC,0.1,0.1,wooters_distance,0.24887814105861886
ADC,ADC,0.1,0.2,trace_distance,0.13267601698842682
ADC,ADC,0.1,0.2,fidelity,0.9092999689048425
ADC,ADC,0.1,0.2,affinity,0.9501581042174857
ADC,ADC,0.1,0.2,wooters_distance,0.2999465410815935
ADC,ADC,0.1,0.30000000000000004,trace_distance,0.17878114253679098
ADC,ADC,0.1,0.30000000000000004,fidelity,0.8758737486358116
ADC,ADC,0.1,0.30000000000000004,affinity,0.9294340490875627
ADC,ADC,0.1,0.30000000000000004,wooters_distance,0.34804196260567943
ADC,ADC,0.1,0.4,trace_distance,0.23348055965021555
ADC,ADC,0.1,0.4,fidelity,0.8420313322893193
ADC,ADC,0.1,0.4,affinity,0.9055056290100354
ADC,ADC,0.1,0.4,wooters_distance,0.39314982297558104
ADC,ADC,0.1,0.5,trace_distance,0.2854809003048041
ADC,ADC,0.1,0.5,fidelity,0.8112985585651704
ADC,ADC,0.1,0.5,affinity,0.8806931738853176
ADC,ADC,0.1,0.5,wooters_distance,0.4285941466123693
ADC,ADC,0.1,0.6000000000000001,trace_distance,0.3363073444574361
ADC,ADC,0.1,0.6000000000000001,fidelity,0.7707055886025292
ADC,ADC,0.1,0.6000000000000001,affinity,0.84970942331748
