chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.6712336246408439
ADC,ADC,0.1,0.1,fidelity,0.859562915254109
ADC,ADC,0.2,0.2,fidelity,0.7138759474186293
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7681689386318835
ADC,ADC,0.4,0.4,fidelity,0.7359773854417438
ADC,ADC,0.5,0.5,fidelity,0.6307424550672961
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6813093407058268
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6582156815660506
ADC,ADC,0.8,0.8,fidelity,0.6220447229000067
ADC,ADC,0.9,0.9,fidelity,0.6399036251814861
ADC,ADC,1.0,1.0,fidelity,0.6459681712061834
