chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.8741158253430911
ADC,ADC,0.1,0.1,fidelity,0.8573611779570997
ADC,ADC,0.2,0.2,fidelity,0.8132478422276489
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7581204246728693
ADC,ADC,0.4,0.4,fidelity,0.7223622152158456
ADC,ADC,0.5,0.5,fidelity,0.705326264455222
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6726375290590364
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6514876076091473
ADC,ADC,0.8,0.8,fidelity,0.6484262144757843
ADC,ADC,0.9,0.9,fidelity,0.6441057294422612
ADC,ADC,1.0,1.0,fidelity,0.6279417383969025
