chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.8608361883759285
ADC,ADC,0.1,0.1,fidelity,0.8068629880008115
ADC,ADC,0.2,0.2,fidelity,0.7761069861067892
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7311024036088584
ADC,ADC,0.4,0.4,fidelity,0.698599573542274
ADC,ADC,0.5,0.5,fidelity,0.6749137479294903
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6605506438125043
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6381538118226678
ADC,ADC,0.8,0.8,fidelity,0.6277250940062268
ADC,ADC,0.9,0.9,fidelity,0.6209064564663337
ADC,ADC,1.0,1.0,fidelity,0.6202718473873802
