chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.892800890213509
ADC,ADC,0.1,0.1,fidelity,0.8468587979976802
ADC,ADC,0.2,0.2,fidelity,0.7957997666435722
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7568430592274203
ADC,ADC,0.4,0.4,fidelity,0.7268070016190903
ADC,ADC,0.5,0.5,fidelity,0.695306231689544
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6762829836226206
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.658757110386687
ADC,ADC,0.8,0.8,fidelity,0.6438820681256926
ADC,ADC,0.9,0.9,fidelity,0.6395221582634858
ADC,ADC,1.0,1.0,fidelity,0.6396162692728328
