chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.7187006106841561
ADC,ADC,0.1,0.1,fidelity,0.730499850488585
ADC,ADC,0.2,0.2,fidelity,0.7101702481199416
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.6886487298039001
ADC,ADC,0.4,0.4,fidelity,0.6643236764413623
ADC,ADC,0.5,0.5,fidelity,0.639983101370126
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6232394570868142
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.5986703459757671
ADC,ADC,0.8,0.8,fidelity,0.5678015562941975
ADC,ADC,0.9,0.9,fidelity,0.5443663302031961
ADC,ADC,1.0,1.0,fidelity,0.523711545564634
