chA,chB,pA,pB,d,score
ADC,ADC,0.85,0.0,fidelity,0.6105114897035456
ADC,ADC,0.85,0.1,fidelity,0.6144572899789033
ADC,ADC,0.85,0.2,fidelity,0.6218713533326942
ADC,ADC,0.85,0.30000000000000004,fidelity,0.6204643332791906
ADC,ADC,0.85,0.4,fidelity,0.6253048343861362
ADC,ADC,0.85,0.5,fidelity,0.6258042483569655
ADC,ADC,0.85,0.6000000000000001,fidelity,0.6287876082896333
ADC,ADC,0.85,0.7000000000000001,fidelity,0.6290719874812328
ADC,ADC,0.85,0.8,fidelity,0.6239084369510457
ADC,ADC,0.85,0.9,fidelity,0.6248573923694046
ADC,ADC,0.85,1.0,fidelity,0.6069609205597725
