chA,chB,pA,pB,d,score
ADC,ADC,0.85,0.0,fidelity,0.6177933201535054
ADC,ADC,0.85,0.1,fidelity,0.6256973299926646
ADC,ADC,0.85,0.2,fidelity,0.6260662915107972
ADC,ADC,0.85,0.30000000000000004,fidelity,0.627199419203856
ADC,ADC,0.85,0.4,fidelity,0.6342121413601115
ADC,ADC,0.85,0.5,fidelity,0.6343196256096874
ADC,ADC,0.85,0.6000000000000001,fidelity,0.6363092912615637
ADC,ADC,0.85,0.7000000000000001,fidelity,0.6367826850666535
ADC,ADC,0.85,0.8,fidelity,0.6363364350709692
ADC,ADC,0.85,0.9,fidelity,0.6345709267769409
ADC,ADC,0.85,1.0,fidelity,0.6114714898053294
