chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.9221931947234686
ADC,ADC,0.1,0.1,fidelity,0.7863284446008203
ADC,ADC,0.2,0.2,fidelity,0.8180112438197013
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7810302733903346
ADC,ADC,0.4,0.4,fidelity,0.7446319378283729
ADC,ADC,0.5,0.5,fidelity,0.7129426235518298
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6522367555326238
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6440119380232777
ADC,ADC,0.8,0.8,fidelity,0.6609722885337252
ADC,ADC,0.9,0.9,fidelity,0.6316680286333995
ADC,ADC,1.0,1.0,fidelity,0.6360607303054711
