chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.8913840554784033
ADC,ADC,0.1,0.1,fidelity,0.8359896399007165
ADC,ADC,0.2,0.2,fidelity,0.8118025736055773
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7491086403110893
ADC,ADC,0.4,0.4,fidelity,0.7437568192033593
ADC,ADC,0.5,0.5,fidelity,0.6936011819129014
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6676403167415824
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6305909029584446
ADC,ADC,0.8,0.8,fidelity,0.633711771954355
ADC,ADC,0.9,0.9,fidelity,0.6303574431428439
ADC,ADC,1.0,1.0,fidelity,0.6126664922340633
