chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.9232586724412116
ADC,ADC,0.1,0.1,fidelity,0.8611474465283516
ADC,ADC,0.2,0.2,fidelity,0.8122505851636771
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7680073680799002
ADC,ADC,0.4,0.4,fidelity,0.7345312962104081
ADC,ADC,0.5,0.5,fidelity,0.7084980344160293
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.68035196141888
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6702927359724214
ADC,ADC,0.8,0.8,fidelity,0.6559618854657642
ADC,ADC,0.9,0.9,fidelity,0.6415929024967788
ADC,ADC,1.0,1.0,fidelity,0.6455757741246971
