chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.9186402088482541
ADC,ADC,0.1,0.1,fidelity,0.8605598684447328
ADC,ADC,0.2,0.2,fidelity,0.8107698727882311
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.7716641670454627
ADC,ADC,0.4,0.4,fidelity,0.7435199951086789
ADC,ADC,0.5,0.5,fidelity,0.709774222233403
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6808435661182677
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6543974618480838
ADC,ADC,0.8,0.8,fidelity,0.6457753185232415
ADC,ADC,0.9,0.9,fidelity,0.6420432353473736
ADC,ADC,1.0,1.0,fidelity,0.6342835990157712
