chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.7706055259369027
ADC,ADC,0.1,0.1,fidelity,0.7228780631115465
ADC,ADC,0.2,0.2,fidelity,0.6893725431685875
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.6671995280542573
ADC,ADC,0.4,0.4,fidelity,0.6423897151676452
ADC,ADC,0.5,0.5,fidelity,0.6331688618956751
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.6174760963777484
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6120942658581153
ADC,ADC,0.8,0.8,fidelity,0.5996699190568975
ADC,ADC,0.9,0.9,fidelity,0.5896659444678444
ADC,ADC,1.0,1.0,fidelity,0.5974282648286017
