chA,chB,pA,pB,d,score
ADC,ADC,0.0,0.0,fidelity,0.7428033201751351
ADC,ADC,0.1,0.1,fidelity,0.7069035599115274
ADC,ADC,0.2,0.2,fidelity,0.6784771751774468
ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.6565108327973032
ADC,ADC,0.4,0.4,fidelity,0.6338859572161111
ADC,ADC,0.5,0.5,fidelity,0.6162924799219839
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.5948481421237635
ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.5847604082080936
ADC,ADC,0.8,0.8,fidelity,0.5773462349601304
ADC,ADC,0.9,0.9,fidelity,0.5675889884610669
ADC,ADC,1.0,1.0,fidelity,0.5545948820795962
