chA,chB,pA,pB,d,score
ADC,ADC,0.85,0.0,fidelity,0.6118947146022805
ADC,ADC,0.85,0.1,fidelity,0.6094324545047249
ADC,ADC,0.85,0.2,fidelity,0.6168585813895859
ADC,ADC,0.85,0.30000000000000004,fidelity,0.6206256904169535
ADC,ADC,0.85,0.4,fidelity,0.617806335969937
ADC,ADC,0.85,0.5,fidelity,0.6230286322913455
ADC,ADC,0.85,0.6000000000000001,fidelity,0.6234862104770972
ADC,ADC,0.85,0.7000000000000001,fidelity,0.6254566439711585
ADC,ADC,0.85,0.8,fidelity,0.623711293721823
ADC,ADC,0.85,0.9,fidelity,0.6187318035409543
ADC,ADC,0.85,1.0,fidelity,0.5955722186950546
