chA,chB,pA,pB,d,score
ADC,ADC,0.85,0.0,fidelity,0.6337053069772437
ADC,ADC,0.85,0.1,fidelity,0.617652640648101
ADC,ADC,0.85,0.2,fidelity,0.6302281472415389
ADC,ADC,0.85,0.30000000000000004,fidelity,0.6437965909412863
ADC,ADC,0.85,0.4,fidelity,0.6504693627983157
ADC,ADC,0.85,0.5,fidelity,0.6533862208774525
ADC,ADC,0.85,0.6000000000000001,fidelity,0.6407838280585941
ADC,ADC,0.85,0.7000000000000001,fidelity,0.6334703329451865
ADC,ADC,0.85,0.8,fidelity,0.6411009281711781
ADC,ADC,0.85,0.9,fidelity,0.6233530306739687
ADC,ADC,0.85,1.0,fidelity,0.613438834369886
